Year,Make,Model,Vehicle Class,Motor,Transmission,Fuel,City Consumption kWh,Hwy Consumption kWh,Comb Consumption kWh,City Consumption Le,Hwy Consumption Le,Comb Consumption Le,Range,CO2 Emissions,CO2 Rating,Smog Rating,Recharge Time
2012,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2012,Nissan,LEAF,Mid-size,80,A1,B,19.3,23,21.1,2.2,2.6,2.4,117,0,n/a,n/a,7
2013,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2013,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2013,Nissan,LEAF,Mid-size,80,A1,B,19.3,23,21.1,2.2,2.6,2.4,117,0,n/a,n/a,7
2013,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2013,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2013,Tesla,Model S (40 kWh),Full-size,225,A1,B,22.4,21.9,22.2,2.5,2.5,2.5,224,0,n/a,n/a,6
2013,Tesla,Model S (60 kWh),Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2013,Tesla,Model S (85 kWh),Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2013,Tesla,Model S Performance,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2014,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19.6,17.8,1.8,2.2,2,131,0,n/a,n/a,7
2014,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2014,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2014,Nissan,LEAF,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5
2014,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2014,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2014,Tesla,Model S (60 kWh),Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2014,Tesla,Model S (85 kWh),Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2014,Tesla,Model S Performance,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2015,BMW,i3,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,n/a,n/a,4
2015,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19.6,17.8,1.8,2.2,2,131,0,n/a,n/a,7
2015,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,n/a,n/a,4
2015,Kia,Soul EV,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2,2.6,2.2,149,0,n/a,n/a,4
2015,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,n/a,n/a,7
2015,Nissan,LEAF,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,n/a,n/a,5
2015,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2015,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,n/a,n/a,8
2015,Tesla,Model S (60 kWh),Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,n/a,n/a,10
2015,Tesla,Model S (70 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,n/a,n/a,12
2015,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,n/a,n/a,12
2015,Tesla,Model S 70D,Full-size,280,A1,B,20.8,20.6,20.7,2.3,2.3,2.3,386,0,n/a,n/a,12
2015,Tesla,Model S 85D/90D,Full-size,280,A1,B,22,19.8,21,2.5,2.2,2.4,435,0,n/a,n/a,12
2015,Tesla,Model S P85D/P90D,Full-size,515,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,n/a,n/a,12
2016,BMW,i3,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,10,n/a,4
2016,Chevrolet,Spark EV,Subcompact,104,A1,B,16,19.6,17.8,1.8,2.2,2,131,0,10,n/a,7
2016,Ford,Focus Electric,Compact,107,A1,B,19,21.1,20,2.1,2.4,2.2,122,0,10,n/a,4
2016,Kia,Soul EV,Station wagon: Small,81,A1,B,17.5,22.7,19.9,2,2.6,2.2,149,0,10,n/a,4
2016,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,0,10,n/a,7
2016,Nissan,LEAF (24 kWh),Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,0,10,n/a,5
2016,Nissan,LEAF (30 kWh),Mid-size,80,A1,B,17,20.7,18.6,1.9,2.3,2.1,172,0,10,n/a,6
2016,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,10,n/a,8
2016,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,0,10,n/a,8
2016,Tesla,Model S (60 kWh pre- 6/16),Full-size,285,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,0,10,n/a,10
2016,Tesla,Model S (60 kWh),Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,10,n/a,10
2016,Tesla,Model S (70 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,377,0,10,n/a,12
2016,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21,21.3,2.4,2.4,2.4,401,0,10,n/a,12
2016,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,0,10,n/a,12
2016,Tesla,Model S 60D,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,10,n/a,10
